design_idx,objective,original workload,padded workload,fre,throughput (GFLOP/s),cycles,latency(ms),DSP eff,off-chip bytes,bandwidth (GB/s),CTC,DSPs,BRAMs,PEs,SA_dims,sa_sizes
kernel0_2_1,latency_off_chip,"{'i': 1026, 'j': 1024, 'k': 1024}","{'i': 1026}",300,806.49,798829,0.00266,98.26%,49327104,18.52,43.54,6840,3621,171,"(171, 8)","{kernel[]->space_time[0];kernel[]->array_part[171, 256, 32];kernel[]->latency[1, 64];kernel[]->simd[8]}"
kernel0_2_1,latency_off_chip,"{'i': 1026, 'j': 1024, 'k': 1024}","{'i': 1026}",300,806.49,798829,0.00266,98.26%,49327104,18.52,43.54,6840,3621,171,"(171, 8)","{kernel[]->space_time[0];kernel[]->array_part[171, 256, 32];kernel[]->latency[1, 128];kernel[]->simd[8]}"
kernel0_2_1,latency_off_chip,"{'i': 1026, 'j': 1024, 'k': 1024}","{'i': 1026}",300,806.49,798829,0.00266,98.26%,49327104,18.52,43.54,6840,3621,171,"(171, 8)","{kernel[]->space_time[0];kernel[]->array_part[171, 256, 32];kernel[]->latency[1, 256];kernel[]->simd[1, 8]}"
kernel0_2_1,latency_off_chip,"{'i': 1032, 'j': 1024, 'k': 1024}","{'i': 1032}",300,806.42,798897,0.00266,97.68%,49449984,18.57,43.43,6880,3642,172,"(172, 8)","{kernel[]->space_time[0];kernel[]->array_part[172, 256, 32];kernel[]->latency[1, 64];kernel[]->simd[8]}"
kernel0_2_1,latency_off_chip,"{'i': 1032, 'j': 1024, 'k': 1024}","{'i': 1032}",300,806.42,798897,0.00266,97.68%,49449984,18.57,43.43,6880,3642,172,"(172, 8)","{kernel[]->space_time[0];kernel[]->array_part[172, 256, 32];kernel[]->latency[1, 128];kernel[]->simd[8]}"
kernel0_2_1,latency_off_chip,"{'i': 1032, 'j': 1024, 'k': 1024}","{'i': 1032}",300,806.42,798897,0.00266,97.68%,49449984,18.57,43.43,6880,3642,172,"(172, 8)","{kernel[]->space_time[0];kernel[]->array_part[172, 256, 32];kernel[]->latency[1, 256];kernel[]->simd[1, 8]}"
kernel0_2_1,latency_off_chip,"{'i': 1038, 'j': 1024, 'k': 1024}","{'i': 1038}",300,806.35,798965,0.00266,97.10%,49572864,18.61,43.32,6920,3663,173,"(173, 8)","{kernel[]->space_time[0];kernel[]->array_part[173, 256, 32];kernel[]->latency[1, 64];kernel[]->simd[8]}"
kernel0_2_1,latency_off_chip,"{'i': 1038, 'j': 1024, 'k': 1024}","{'i': 1038}",300,806.35,798965,0.00266,97.10%,49572864,18.61,43.32,6920,3663,173,"(173, 8)","{kernel[]->space_time[0];kernel[]->array_part[173, 256, 32];kernel[]->latency[1, 128];kernel[]->simd[8]}"
kernel0_2_1,latency_off_chip,"{'i': 1038, 'j': 1024, 'k': 1024}","{'i': 1038}",300,806.35,798965,0.00266,97.10%,49572864,18.61,43.32,6920,3663,173,"(173, 8)","{kernel[]->space_time[0];kernel[]->array_part[173, 256, 32];kernel[]->latency[1, 256];kernel[]->simd[1, 8]}"
kernel0_2_1,latency_off_chip,"{'i': 1044, 'j': 1024, 'k': 1024}","{'i': 1044}",300,806.28,799033,0.00266,96.54%,49695744,18.66,43.21,6960,3684,174,"(174, 8)","{kernel[]->space_time[0];kernel[]->array_part[174, 256, 32];kernel[]->latency[1, 64];kernel[]->simd[8]}"
kernel0_2_1,latency_off_chip,"{'i': 1044, 'j': 1024, 'k': 1024}","{'i': 1044}",300,806.28,799033,0.00266,96.54%,49695744,18.66,43.21,6960,3684,174,"(174, 8)","{kernel[]->space_time[0];kernel[]->array_part[174, 256, 32];kernel[]->latency[1, 128];kernel[]->simd[8]}"
kernel0_2_1,latency_off_chip,"{'i': 1044, 'j': 1024, 'k': 1024}","{'i': 1044}",300,806.28,799033,0.00266,96.54%,49695744,18.66,43.21,6960,3684,174,"(174, 8)","{kernel[]->space_time[0];kernel[]->array_part[174, 256, 32];kernel[]->latency[1, 256];kernel[]->simd[1, 8]}"
