design_idx,objective,original workload,padded workload,fre,throughput (GFLOP/s),cycles,latency(ms),DSP eff,off-chip bytes,bandwidth (GB/s),CTC,DSPs,BRAMs,PEs,SA_dims,sa_sizes
kernel3_2_1,latency,"{'i': 1032, 'j': 1025, 'k': 1024}","{'i': 1032, 'j': 1025}",300,1010.05,637832,0.00213,97.87%,58953760,27.73,36.43,8600,2515,215,"(43, 5, 8)","{kernel[]->space_time[3];kernel[]->array_part[129, 205, 64];kernel[]->latency[3, 41];kernel[]->simd[8]}"
kernel3_2_1,latency,"{'i': 1032, 'j': 1025, 'k': 1024}","{'i': 1032, 'j': 1025}",300,1009.69,638062,0.00213,97.84%,58953760,27.72,36.43,8600,2515,215,"(43, 5, 8)","{kernel[]->space_time[3];kernel[]->array_part[129, 205, 32];kernel[]->latency[3, 41];kernel[]->simd[8]}"
kernel3_2_1,latency,"{'i': 1032, 'j': 1025, 'k': 1024}","{'i': 1032, 'j': 1025}",300,1009.26,638332,0.00213,97.80%,58953760,27.71,36.43,8600,2515,215,"(43, 5, 8)","{kernel[]->space_time[3];kernel[]->array_part[129, 205, 128];kernel[]->latency[3, 41];kernel[]->simd[8]}"
kernel3_2_1,latency,"{'i': 1032, 'j': 1025, 'k': 1024}","{'i': 1032, 'j': 1025}",300,1007.99,639137,0.00213,97.67%,58953760,27.67,36.43,8600,2515,215,"(43, 5, 8)","{kernel[]->space_time[3];kernel[]->array_part[129, 205, 16];kernel[]->latency[3, 41];kernel[]->simd[8]}"
kernel3_2_1,latency,"{'i': 1032, 'j': 1025, 'k': 1024}","{'i': 1032, 'j': 1025}",300,1006.93,639812,0.00213,97.57%,58953760,27.64,36.43,8600,2665,215,"(43, 5, 8)","{kernel[]->space_time[3];kernel[]->array_part[129, 205, 256];kernel[]->latency[3, 41];kernel[]->simd[8]}"
kernel3_2_1,latency,"{'i': 1025, 'j': 1032, 'k': 1024}","{'i': 1025, 'j': 1032}",300,1006.83,639876,0.00213,97.56%,50556960,23.70,42.48,8600,2515,215,"(5, 43, 8)","{kernel[]->space_time[3];kernel[]->array_part[205, 172, 64];kernel[]->latency[41, 4];kernel[]->simd[8]}"
kernel3_2_1,latency,"{'i': 1032, 'j': 1025, 'k': 1024}","{'i': 1032, 'j': 1025}",300,1006.83,639876,0.00213,97.56%,50556960,23.70,42.48,8600,2515,215,"(43, 5, 8)","{kernel[]->space_time[3];kernel[]->array_part[172, 205, 64];kernel[]->latency[4, 41];kernel[]->simd[8]}"
kernel3_2_1,latency,"{'i': 1025, 'j': 1032, 'k': 1024}","{'i': 1025, 'j': 1032}",300,1006.72,639946,0.00213,97.55%,50556960,23.70,42.48,8600,2515,215,"(5, 43, 8)","{kernel[]->space_time[3];kernel[]->array_part[205, 172, 32];kernel[]->latency[41, 4];kernel[]->simd[8]}"
kernel3_2_1,latency,"{'i': 1032, 'j': 1025, 'k': 1024}","{'i': 1032, 'j': 1025}",300,1006.72,639946,0.00213,97.55%,50556960,23.70,42.48,8600,2515,215,"(43, 5, 8)","{kernel[]->space_time[3];kernel[]->array_part[172, 205, 32];kernel[]->latency[4, 41];kernel[]->simd[8]}"
kernel3_2_1,latency,"{'i': 1032, 'j': 1025, 'k': 1024}","{'i': 1032, 'j': 1025}",300,1005.92,640456,0.00213,97.47%,50556960,23.68,42.48,8600,2515,215,"(43, 5, 8)","{kernel[]->space_time[3];kernel[]->array_part[172, 205, 128];kernel[]->latency[4, 41];kernel[]->simd[8]}"
kernel3_2_1,latency,"{'i': 1025, 'j': 1032, 'k': 1024}","{'i': 1025, 'j': 1032}",300,1005.92,640456,0.00213,97.47%,50556960,23.68,42.48,8600,2515,215,"(5, 43, 8)","{kernel[]->space_time[3];kernel[]->array_part[205, 172, 128];kernel[]->latency[41, 4];kernel[]->simd[8]}"
kernel3_2_1,latency,"{'i': 1032, 'j': 1025, 'k': 1024}","{'i': 1032, 'j': 1025}",300,1005.53,640701,0.00214,97.44%,50556960,23.67,42.48,8600,2515,215,"(43, 5, 8)","{kernel[]->space_time[3];kernel[]->array_part[172, 205, 16];kernel[]->latency[4, 41];kernel[]->simd[8]}"
kernel3_2_1,latency,"{'i': 1025, 'j': 1032, 'k': 1024}","{'i': 1025, 'j': 1032}",300,1005.53,640701,0.00214,97.44%,50556960,23.67,42.48,8600,2515,215,"(5, 43, 8)","{kernel[]->space_time[3];kernel[]->array_part[205, 172, 16];kernel[]->latency[41, 4];kernel[]->simd[8]}"
kernel3_2_1,latency,"{'i': 1032, 'j': 1035, 'k': 1024}","{'i': 1032, 'j': 1035}",300,1004.71,641222,0.00214,97.36%,76231008,35.67,28.17,8600,2515,215,"(43, 5, 8)","{kernel[]->space_time[3];kernel[]->array_part[129, 115, 128];kernel[]->latency[3, 23];kernel[]->simd[8]}"
kernel3_2_1,latency,"{'i': 1032, 'j': 1035, 'k': 1024}","{'i': 1032, 'j': 1035}",300,1004.62,641282,0.00214,97.35%,76231008,35.66,28.17,8600,2515,215,"(43, 5, 8)","{kernel[]->space_time[3];kernel[]->array_part[129, 115, 64];kernel[]->latency[3, 23];kernel[]->simd[8]}"
kernel3_2_1,latency,"{'i': 1032, 'j': 1035, 'k': 1024}","{'i': 1032, 'j': 1035}",300,1003.55,641966,0.00214,97.24%,76231008,35.62,28.17,8600,2515,215,"(43, 5, 8)","{kernel[]->space_time[3];kernel[]->array_part[129, 115, 256];kernel[]->latency[3, 23];kernel[]->simd[8]}"
kernel3_2_1,latency,"{'i': 1032, 'j': 1025, 'k': 1024}","{'i': 1032, 'j': 1025}",300,1003.53,641976,0.00214,97.24%,50556960,23.63,42.48,8600,2665,215,"(43, 5, 8)","{kernel[]->space_time[3];kernel[]->array_part[172, 205, 256];kernel[]->latency[4, 41];kernel[]->simd[8]}"
kernel3_2_1,latency,"{'i': 1025, 'j': 1032, 'k': 1024}","{'i': 1025, 'j': 1032}",300,1003.53,641976,0.00214,97.24%,50556960,23.63,42.48,8600,2665,215,"(5, 43, 8)","{kernel[]->space_time[3];kernel[]->array_part[205, 172, 256];kernel[]->latency[41, 4];kernel[]->simd[8]}"
kernel3_2_1,latency,"{'i': 1032, 'j': 1035, 'k': 1024}","{'i': 1032, 'j': 1035}",300,1003.22,642176,0.00214,97.21%,76231008,35.61,28.17,8600,2515,215,"(43, 5, 8)","{kernel[]->space_time[3];kernel[]->array_part[129, 115, 32];kernel[]->latency[3, 23];kernel[]->simd[8]}"
kernel3_2_1,latency,"{'i': 1035, 'j': 1032, 'k': 1024}","{'i': 1035, 'j': 1032}",300,1002.87,642402,0.00214,97.18%,67752288,31.64,31.70,8600,2515,215,"(5, 43, 8)","{kernel[]->space_time[3];kernel[]->array_part[115, 172, 64];kernel[]->latency[23, 4];kernel[]->simd[8]}"
