dim,theoretical_cycles,lowerb_cycles,actual_cycles,is_lower
256,22_469_486,60_498_859,75_539_968,True
257,22_557_257,60_734_944,inf,True
258,22_645_029,60_971_030,63_535_104,True
259,22_732_800,61_207_115,87_414_592,True
260,22_820_571,61_443_200,61_443_200,True
261,22_908_343,61_679_285,64_240_128,True
262,22_996_114,61_915_370,77_309_536,True
263,23_083_886,62_151_456,inf,True
264,23_171_657,62_387_541,58_512_384,False
265,23_259_429,62_623_626,80_761_600,True
266,23_347_200,62_859_711,78_489_248,True
267,23_434_971,63_095_797,90_325_248,True
268,23_522_743,63_331_882,79_079_104,True
269,23_610_514,63_567_967,inf,True
270,23_698_286,63_804_052,63_840_384,True
271,23_786_057,64_040_138,inf,True
272,23_873_829,64_276_223,80_258_816,True
273,23_961_600,64_512_308,69_124_608,True
274,24_049_371,64_748_393,80_848_672,True
275,24_137_143,64_984_479,65_001_088,True
276,24_224_914,65_220_564,61_166_592,False
277,24_312_686,65_456_649,inf,True
278,24_400_457,65_692_734,82_028_384,True
279,24_488_229,65_928_820,68_663_808,True
280,24_576_000,66_164_905,66_161_920,False
281,24_663_771,66_400_990,inf,True
282,24_751_543,66_637_075,69_433_344,True
283,24_839_314,66_873_161,inf,True
284,24_927_086,67_109_246,83_797_952,True
285,25_014_857,67_345_331,67_383_232,True
286,25_102_629,67_581_416,84_387_808,True
287,25_190_400,67_817_502,96_852_032,True
288,25_278_171,68_053_587,63_820_800,False
289,25_365_943,68_289_672,160_579_160,True
290,25_453_714,68_525_757,68_589_120,True
291,25_541_486,68_761_843,98_435_328,True
292,25_629_257,68_997_928,86_157_376,True
293,25_717_029,69_234_013,inf,True
294,25_804_800,69_470_098,72_382_464,True
295,25_892_571,69_706_184,89_885_440,True
296,25_980_343,69_942_269,87_337_088,True
297,26_068_114,70_178_354,73_087_488,True
298,26_155_886,70_414_439,87_926_944,True
299,26_243_657,70_650_525,108_730_240,True
300,26_331_429,70_886_610,66_475_008,False
301,26_419_200,71_122_695,101_570_752,True
302,26_506_971,71_358_780,89_106_656,True
303,26_594_743,71_594_866,102_490_368,True
304,26_682_514,71_830_951,89_696_512,True
305,26_770_286,72_067_036,92_926_720,True
