dim,theoretical_cycles,lowerb_cycles,actual_cycles
64,87_771,344_080,344_080
65,89_143,347_945,404_740
66,90_514,351_810,377_856
67,91_886,355_675,24_816_867
68,93_257,359_540,451_584
69,94_629,363_405,523_008
70,96_000,367_270,372_480
71,97_371,371_136,26_761_036
72,98_743,375_001,380_946
73,100_114,378_866,27_514_868
74,101_486,382_731,711_316
75,102_857,386_596,380_160
76,104_229,390_461,500_736
77,105_600,394_326,530_880
78,106_971,398_191,439_296
79,108_343,402_056,29_776_364
80,109_714,405_921,394_760
81,111_086,409_786,474_624
82,112_457,413_651,785_060
83,113_829,417_517,61_879_654
84,115_200,421_382,446_976
85,116_571,425_247,579_840
86,117_943,429_112,821_932
87,119_314,432_977,647_424
88,120_686,436_842,454_678
89,122_057,440_707,66_352_882
90,123_429,444_572,437_760
91,124_800,448_437,598_080
92,126_171,452_302,599_040
93,127_543,456_167,688_896
94,128_914,460_032,895_676
95,130_286,463_898,641_280
96,131_657,467_763,491_544
97,133_029,471_628,408_314_274
98,134_400,475_493,528_398
99,135_771,479_358,566_784
100,137_143,483_223,468_490
101,138_514,487_088,425_151_976
102,139_886,490_953,562_176
103,141_257,494_818,433_570_826
104,142_629,498_683,528_410
105,144_000,502_548,495_360
106,145_371,506_413,1_006_292
107,146_743,510_279,450_408_528
108,148_114,514_144,543_744
109,149_486,518_009,458_827_380
110,150_857,521_874,547_592
111,152_229,525_739,813_312
112,153_600,529_604,565_276
113,154_971,533_469,475_665_082
