I, O, R, C, P, Q, solver, actual
64, 64, 64, 64, 3, 3, 391699.86505, 427008.0
64, 64, 64, 65, 3, 3, 395506.43079, 433680.0
64, 64, 64, 66, 3, 3, 399296.30727, 440352.0
64, 64, 64, 67, 3, 3, 403069.89162, 447024.0
64, 64, 64, 68, 3, 3, 406827.56604, 453696.0
64, 64, 64, 69, 3, 3, 410569.69855, 460368.0
64, 64, 64, 70, 3, 3, 414296.64368, 467040.0
64, 64, 64, 71, 3, 3, 418008.74323, 473712.0
64, 64, 64, 72, 3, 3, 421706.32682, 480384.0
64, 64, 64, 73, 3, 3, 425389.71251, 487056.0
64, 64, 64, 74, 3, 3, 429059.20737, 493728.0
64, 64, 64, 75, 3, 3, 432715.10798, 500400.0
64, 64, 64, 76, 3, 3, 436357.70093, 507072.0
64, 64, 64, 77, 3, 3, 439987.26329, 513744.0
64, 64, 64, 78, 3, 3, 443604.063, 520416.0
64, 64, 64, 79, 3, 3, 447208.35936, 527088.0
64, 64, 64, 80, 3, 3, 450800.40334, 533760.0
64, 64, 64, 81, 3, 3, 454380.43798, 540432.0
64, 64, 64, 82, 3, 3, 457948.69873, 547104.0
64, 64, 64, 83, 3, 3, 461505.41377, 553776.0
