I, O, R, C, P, Q, solver, actual
64, 64, 64, 64, 3, 3, 322142.0, 344080.0
64, 64, 65, 64, 3, 3, 325929.0, 436432.0
64, 64, 66, 64, 3, 3, 329626.0, 342144.0
64, 64, 67, 64, 3, 3, 333384.0, 508128.0
64, 64, 68, 64, 3, 3, 337116.0, 365568.0
64, 64, 69, 64, 3, 3, 340852.0, 357696.0
64, 64, 70, 64, 3, 3, 344588.0, 376320.0
64, 64, 71, 64, 3, 3, 348288.0, 870744.0
64, 64, 72, 64, 3, 3, 351992.0, 384776.0
64, 64, 73, 64, 3, 3, 355686.0, 2865980.0
64, 64, 74, 64, 3, 3, 359374.0, 394376.0
64, 64, 75, 64, 3, 3, 363041.0, 438352.0
64, 64, 76, 64, 3, 3, 366706.0, 389768.0
64, 64, 77, 64, 3, 3, 370358.0, 544704.0
64, 64, 78, 64, 3, 3, 374008.0, 404352.0
64, 64, 79, 64, 3, 3, 377638.0, 11221594.5
64, 64, 80, 64, 3, 3, 381263.0, 394760.0
64, 64, 81, 64, 3, 3, 384881.0, 463116.0
64, 64, 82, 64, 3, 3, 388488.0, 425088.0
64, 64, 83, 64, 3, 3, 392089.0, 11789776.5
64, 64, 84, 64, 3, 3, 395681.0, 399752.0
64, 64, 85, 64, 3, 3, 399266.0, 440272.0
64, 64, 86, 64, 3, 3, 402842.0, 445824.0
64, 64, 87, 64, 3, 3, 406405.0, 481632.0
64, 64, 88, 64, 3, 3, 409964.0, 413952.0
64, 64, 89, 64, 3, 3, 413514.0, 13897483.5
64, 64, 90, 64, 3, 3, 417059.0, 459648.0
64, 64, 91, 64, 3, 3, 420597.0, 588880.0
64, 64, 92, 64, 3, 3, 424145.0, 432768.0
64, 64, 93, 64, 3, 3, 427642.0, 504880.0
64, 64, 94, 64, 3, 3, 431154.0, 487296.0
64, 64, 95, 64, 3, 3, 434660.0, 481736.0
64, 64, 96, 64, 3, 3, 438162.0, 497664.0
64, 64, 97, 64, 3, 3, 441655.0, 18049954.0
64, 64, 98, 64, 3, 3, 445151.0, 508032.0
64, 64, 99, 64, 3, 3, 448615.0, 508912.0
64, 64, 100, 64, 3, 3, 452088.0, 487688.0
64, 64, 101, 64, 3, 3, 455552.0, 18794282.0
64, 64, 102, 64, 3, 3, 459011.0, 510928.0
64, 64, 103, 64, 3, 3, 462466.0, 19166446.0
64, 64, 104, 64, 3, 3, 465910.0, 559104.0
64, 64, 105, 64, 3, 3, 469349.0, 493640.0
64, 64, 106, 64, 3, 3, 472783.0, 671248.0
64, 64, 107, 64, 3, 3, 476211.0, 19910774.0
64, 64, 108, 64, 3, 3, 479631.0, 514960.0
64, 64, 109, 64, 3, 3, 483047.0, 40373709.0
64, 64, 110, 64, 3, 3, 486458.0, 499592.0
64, 64, 111, 64, 3, 3, 489861.0, 516976.0
64, 64, 112, 64, 3, 3, 493260.0, 592912.0
64, 64, 113, 64, 3, 3, 496658.0, 41855313.0
64, 64, 114, 64, 3, 3, 500046.0, 518992.0
64, 64, 115, 64, 3, 3, 503423.0, 578496.0
64, 64, 116, 64, 3, 3, 506797.0, 634400.0
64, 64, 117, 64, 3, 3, 510166.0, 527904.0
64, 64, 118, 64, 3, 3, 513532.0, 680464.0
64, 64, 119, 64, 3, 3, 516891.0, 597712.0
64, 64, 120, 64, 3, 3, 520246.0, 541440.0
64, 64, 121, 64, 3, 3, 523600.0, 874796.0
64, 64, 122, 64, 3, 3, 526940.0, 683536.0
64, 64, 123, 64, 3, 3, 530279.0, 554976.0
64, 64, 124, 64, 3, 3, 533619.0, 637472.0
64, 64, 125, 64, 3, 3, 536946.0, 782912.0
64, 64, 126, 64, 3, 3, 540268.0, 568512.0
64, 64, 127, 64, 3, 3, 543591.0, 47040927.0
64, 64, 128, 64, 3, 3, 546904.0, 639008.0
64, 64, 129, 64, 3, 3, 550214.0, 582048.0
64, 64, 130, 64, 3, 3, 553519.0, 698880.0
64, 64, 131, 64, 3, 3, 556820.0, 48522531.0
64, 64, 132, 64, 3, 3, 560117.0, 594440.0
64, 64, 133, 64, 3, 3, 563409.0, 616512.0
64, 64, 134, 64, 3, 3, 566697.0, 720384.0
64, 64, 135, 64, 3, 3, 569984.0, 602216.0
64, 64, 136, 64, 3, 3, 573263.0, 674704.0
64, 64, 137, 64, 3, 3, 576532.0, 50744937.0
64, 64, 138, 64, 3, 3, 579805.0, 605768.0
64, 64, 139, 64, 3, 3, 583069.0, 51485739.0
64, 64, 140, 64, 3, 3, 586331.0, 648960.0
64, 64, 141, 64, 3, 3, 589587.0, 618144.0
64, 64, 142, 64, 3, 3, 592840.0, 1301856.0
64, 64, 143, 64, 3, 3, 596090.0, 880064.0
64, 64, 144, 64, 3, 3, 599334.0, 631296.0
64, 64, 145, 64, 3, 3, 602575.0, 790208.0
64, 64, 146, 64, 3, 3, 605826.0, 1568548.0
64, 64, 147, 64, 3, 3, 609046.0, 644448.0
64, 64, 148, 64, 3, 3, 612284.0, 682192.0
64, 64, 149, 64, 3, 3, 615499.0, 1249712579.75
64, 64, 150, 64, 3, 3, 618722.0, 676800.0
64, 64, 151, 64, 3, 3, 621949.0, 1266487245.25
64, 64, 152, 64, 3, 3, 625153.0, 684688.0
64, 64, 153, 64, 3, 3, 628362.0, 738456.0
64, 64, 154, 64, 3, 3, 631569.0, 713856.0
64, 64, 155, 64, 3, 3, 634772.0, 793856.0
64, 64, 156, 64, 3, 3, 637971.0, 687184.0
64, 64, 157, 64, 3, 3, 641191.0, 1316811241.75
64, 64, 158, 64, 3, 3, 644358.0, 1679164.0
64, 64, 159, 64, 3, 3, 647560.0, 950912.0
64, 64, 160, 64, 3, 3, 650738.0, 689680.0
64, 64, 161, 64, 3, 3, 653920.0, 746304.0
64, 64, 162, 64, 3, 3, 657090.0, 739608.0
64, 64, 163, 64, 3, 3, 660290.0, 1367135238.25
64, 64, 164, 64, 3, 3, 663435.0, 692176.0
